figure,panel,label,anchor_x,anchor_y,label_x,label_y
5,class1_A,P/A41,611.2304251691334,201.3142772472067,616.7396239118538,165.73832006804975
5,class1_A,G/D77,754.5537619224372,472.4675650340422,862.3539670022633,419.44550042983485
5,class1_A,P/S105,334.5161792181194,608.7679093924712,281.86951078087617,637.5486026165577
5,class1_A,N/K127,608.3375220731622,674.2061127075634,619.4128433885002,727.0581444354168
5,class1_A,R/H145,758.9278216333314,660.1432811989386,833.3683614194588,729.8756699171661
5,class1_A,Q/E173,311.6586402188723,457.477267179533,228.01599207798125,449.73727932559564
5,class1_A,D/E177,283.369835895085,407.38751071648494,196.2527938098247,384.7905866267998
5,class1_A,S/V194,534.3958941148395,421.8610987834886,451.8023448263424,275.5658301794473
5,class1_A,Q/P267,234.59763301167197,538.245575579544,181.37195216302462,547.3574852695008
5,class1_B,P/A41,607.2451575383162,202.81870468861047,611.8509055708296,167.1145440758612
5,class1_B,P/S105,340.78707087808857,605.5911965122241,288.3664007366416,634.7814918502573
5,class1_B,T/M138,835.5858561565929,622.2324469320529,903.8982483886693,659.8810467404246
5,class1_B,D/H151,661.8856137998542,650.8749006583179,692.2104605078918,709.495747395072
5,class1_B,Q/E173,314.90984470766534,464.57757530460026,231.00629262670395,460.5534048065468
5,class1_B,D/E177,285.4459540122798,408.36364334731456,197.91674942619676,387.4199487227353
5,class1_B,S/I194,528.3239181701141,402.19475539209657,455.78463181587756,277.80001299830377
5,class1_B,Q/P267,236.9596291470209,532.2042659372376,189.60084989887577,540.023858517766
5,class1_C,D/G16,849.4077885075726,283.4290892459938,888.7157173955833,301.14498937774147
5,class1_C,K/E19,760.6712188051292,309.2874809436132,850.7987743421979,230.05981069569674
5,class1_C,P/A41,616.2372117963512,204.27773485858432,635.8961273366594,98.08203325169711
5,class1_C,R/Q65,573.67697996482,369.84122047517076,589.5999490589473,166.46359374295747
5,class1_C,D/R151,660.9789753878871,650.4291571163744,699.4991692620084,718.2538920137561
5,class1_C,N/D177,280.28008800766577,417.3070036911744,210.03532080476913,401.505969528473
5,class1_C,S/I194,546.2800962765839,418.14718550039754,505.485376508881,280.04653076236025
5,class1_C,Q/P267,238.07030042606817,536.7436742003977,190.7452496202621,544.7648690133838
5,class1_D,D/G16,841.1411969445157,274.0828796392352,909.6957183707314,177.75841530676246
5,class1_D,D/E19,764.0141781486482,307.2995411866616,836.3923878132683,244.23295125392244
5,class1_D,P/A41,614.2141571672205,204.040530201129,621.0114735514913,162.59422168068147
5,class1_D,R/S131,604.8013487750337,698.4058859375913,616.1346724621724,769.5083175008124
5,class1_D,N/R151,654.8029334294563,650.5994972936585,681.24501762569,704.4587229041264
5,class1_D,D/E177,283.32121341307516,410.3540786406428,195.65401723829626,389.99572126945895
5,class1_D,S/I194,531.1481824450924,410.09352110843145,459.40853048000866,285.2359128663677
5,class1_D,Q/P267,236.64439361700505,535.128288889575,189.36475076703232,543.412935652052
5,class1_E,D/G16,850.7483112480165,278.26403289947183,884.8961177302164,253.81148063075696
5,class1_E,P/A41,618.3742918556014,203.13215207141434,625.7904201910036,161.79208626942454
5,class1_E,R/S131,607.2568439357228,699.512025586152,623.9012433325697,794.058119998974
5,class1_E,N/R151,656.9684480373169,651.9594423635039,695.3884925759323,726.6581717881119
5,class1_E,Q/E173,313.72529035474645,464.23162068717943,229.89087612377153,458.9599045956855
5,class1_E,D/E177,285.3151774539233,409.5621022694281,197.99253054631788,387.77322122772085
5,class1_E,S/I194,539.8740107919475,414.62638438298256,484.44923011639196,288.2456355045772
5,class1_E,Q/P267,238.2925685137057,534.1156911504271,190.91787231308973,541.8382658440993
5,class1_F,D/G16,809.5119292697855,284.83161211918446,859.241077569267,297.0447216620619
5,class1_F,K/E19,716.9951216516231,312.7963720500658,807.5184688161185,234.02122610836503
5,class1_F,P/A41,573.1523500799805,203.6870107932043,580.5348911633491,162.34093374649558
5,class1_F,A/D90,845.8758574876344,346.2917644115706,882.1676306181662,169.04849251330342
5,class1_F,D/R151,619.2589503362972,655.8226397005177,665.346156895105,740.0364710562147
5,class1_F,Q/E173,268.36035174384733,468.8728624440288,184.45610634778893,464.863173613456
5,class1_F,N/E177,236.9577209454451,413.93714941454334,185.05846749928594,357.46846899724096
5,class1_F,S/L194,487.47965470451936,412.15867965926407,420.5942900603326,284.63476819002557
6,class2_A,V/L11,464.50684737184633,356.48399985481933,203.32437766326615,235.12619204285113
6,class2_A,Q/E28,429.9672622198251,419.9295028376479,181.9736600013793,298.17438589918197
6,class2_A,H/S37,410.2211021096517,268.38982782441593,267.3817183430265,169.02730750024767
6,class2_A,I/A85,567.4546073606141,657.3275337984126,534.5136215583477,714.5192417146384
6,class2_A,T/K98,939.6831112807191,551.1202113429667,1091.96124303648,606.3956180712313
6,class2_A,A/S104,1053.6016223209222,332.4175889982505,1252.5682537573248,265.2440854804887
6,class2_A,T/S120,892.1304406926226,494.83937322915267,1163.909334208833,542.9250575759985
6,class2_A,P/Q149,770.1990127253093,429.8092928085374,1311.9811303454294,200.42556823820843
6,class2_A,L/V180,870.4296821221799,667.7903360147745,926.4520178014743,730.3802545722904
6,class2_B,A/E58,297.123342685764,341.8201795281207,188.4040337165361,307.52569225605953
6,class2_B,Q/D70,322.8652034388135,534.571813034398,228.3609879061894,551.4523712764502
6,class2_B,E/H96,902.0922715190216,623.9892090520887,988.0841307393291,689.329856032623
6,class2_B,R/K98,974.3002811663764,561.2422034464905,1099.4120197695356,603.3260823515387
6,class2_B,A/S104,1092.0938437246518,339.28250393525377,1335.3873779757982,202.07873280762885
6,class2_B,A/T140,1001.8418023278646,363.0157810207912,1285.5860052348235,265.6031159474318
6,class2_B,P/H149,804.5702397338515,436.3999755124345,1335.6360378758027,336.20726269395686
6,class2_B,L/V180,900.06606774782,675.1366592315972,979.92405509227,756.4920638295318
6,class2_C,P/L52,297.4303662933521,233.40433405033548,200.79545435302953,172.92546340705962
6,class2_C,R/L55,265.9932923047726,287.13690562691613,182.5830828141153,238.6435943021531
6,class2_C,E/D66,246.62496942686346,499.45255282357573,188.87397628659107,523.6852931575406
6,class2_C,T/R77,430.928667271486,610.0435058672598,369.9082468604563,648.2601029536199
6,class2_C,E/L87,633.9671096257648,642.8273636774181,620.6708925933409,719.6857439142321
6,class2_C,S/A125,785.2436185448544,504.0344178363688,1086.5423970156385,605.7351852475017
6,class2_C,Q/R130,974.3786566572949,508.1729370214804,1205.9710850813626,541.6534850552716
6,class2_C,L/T185,1034.52403763739,601.3960228567921,1220.019789266944,670.6443161742945
